Year,Department Title,Employee Count,Total Payroll,# Female,# Male,% Female,% Male,Female Total Salary,Male Total Salary,Female Average Salary,Male Average Salary,% Payroll to Women,% Payroll to Men
2015,Office of Finance,369,$26887944.70,224,145,60.7%,39.3%,$16134600.76,$10753343.94,$72029.47,$74160.99,60.01%,39.99%
2015,Pension,124,$10360376.26,78,46,62.9%,37.1%,$6003676.72,$4356699.54,$76970.21,$94710.86,57.95%,42.05%
2015,Personnel,545,$41757513.66,379,166,69.54%,30.46%,$28031671.63,$13725842.03,$73962.19,$82685.80,67.13%,32.87%
2015,Police,13438,$1234782661.45,3798,9640,28.26%,71.74%,$325423696.64,$909358964.81,$85682.91,$94331.84,26.35%,73.65%
2015,Public Works - Board of Public Works,103,$7284867.21,69,34,66.99%,33.01%,$4554626.71,$2730240.50,$66009.08,$80301.19,62.52%,37.48%
2015,Public Works - Contract Administration,309,$25236707.83,56,253,18.12%,81.88%,$3934066.29,$21302641.54,$70251.18,$84200.16,15.59%,84.41%
2015,Public Works - Engineering,810,$71627502.28,243,567,30%,70%,$18789038.98,$52838463.30,$77321.15,$93189.53,26.23%,73.77%
2015,Public Works - Sanitation,2746,$198407475.38,538,2208,19.59%,80.41%,$36679016.21,$161728459.17,$68176.61,$73246.58,18.49%,81.51%
2015,Public Works - Street Lighting,223,$17128073.88,35,188,15.7%,84.3%,$2773415.40,$14354658.48,$79240.44,$76354.57,16.19%,83.81%
2015,Public Works - Street Services,957,$68181482.48,140,817,14.63%,85.37%,$9100061.98,$59081420.50,$65000.44,$72315.08,13.35%,86.65%
2015,Recreation and Parks,1477,$94097000.56,409,1068,27.69%,72.31%,$26293732.49,$67803268.07,$64287.85,$63486.21,27.94%,72.06%
2015,Transportation,1398,$100348055.23,455,943,32.55%,67.45%,$30407972.86,$69940082.37,$66830.71,$74167.64,30.3%,69.7%
2015,Zoo,226,$13847169.51,122,104,53.98%,46.02%,$7438637.79,$6408531.72,$60972.44,$61620.50,53.72%,46.28%
